Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R46        R0402                  35.6mm           7mm        35.6mm           7mm        35.1mm           7mm  T        360.00 4k99           
R45        R0402                  27.2mm        32.9mm        27.2mm        32.9mm        27.7mm        32.9mm  T        180.00 4k99           
R44        R0402                  27.2mm        31.7mm        27.2mm        31.7mm        27.7mm        31.7mm  T        180.00 4k99           
R36        R0402                  12.4mm        27.2mm        12.4mm        27.2mm        12.4mm        27.7mm  T        270.00 22R            
R35        R0402                  18.9mm        27.1mm        18.9mm        27.1mm        18.9mm        26.6mm  B         90.00 22R            
R34        R0402                  33.4mm        11.1mm        33.4mm        11.1mm        33.4mm        10.6mm  B         90.00 0R             
R32        R0402               33.9875mm      1.4075mm     33.9875mm      1.4075mm     34.4875mm      1.4075mm  T        180.00 4k99           
R31        R0402                    34mm         2.7mm          34mm         2.7mm        34.5mm         2.7mm  T        180.00 4k99           
R30        R0402                  23.6mm        11.3mm        23.6mm        11.3mm        23.6mm        11.8mm  B        270.00 1k6            
R29        R0402                  26.8mm        37.3mm        26.8mm        37.3mm        27.3mm        37.3mm  T        180.00 4k99           
R28        R0402                  26.8mm        38.5mm        26.8mm        38.5mm        27.3mm        38.5mm  T        180.00 4k99           
R27        R0402                  27.4mm        10.4mm        27.4mm        10.4mm        27.4mm         9.9mm  B         90.00 0R             
R26        R0402                  23.5mm        35.2mm        23.5mm        35.2mm        23.5mm        35.7mm  T        270.00 0R             
R25        R0402                  27.5mm        35.2mm        27.5mm        35.2mm        27.5mm        34.7mm  T         90.00 0R             
R23        R0402                  24.8mm        11.9mm        24.8mm        11.9mm        24.8mm        11.4mm  B         90.00 0R             
R22        R0402                  29.6mm          33mm        29.6mm          33mm        29.1mm          33mm  T        360.00 47k            
R21        R0402                  24.8mm        31.7mm        24.8mm        31.7mm        24.3mm        31.7mm  T        360.00 47k            
R20        R0402                  18.2mm        22.7mm        18.2mm        22.7mm        18.7mm        22.7mm  B        180.00 191R           
R19        R0402                  16.8mm        18.5mm        16.8mm        18.5mm        16.3mm        18.5mm  B        360.00 0R             
R18        R0402                  16.6mm        22.9mm        16.6mm        22.9mm        16.6mm        22.4mm  B         90.00 0R             
R16        R0402                  18.9mm         5.8mm        18.9mm         5.8mm        18.9mm         6.3mm  T        270.00 49R9           
